,train_loss,test_loss,ram_usage,runtime,train_misclass,train_sensitivity,train_specificity,train_auc,test_misclass,test_sensitivity,test_specificity,test_auc,train_sample_misclass,test_sample_misclass
0,1.0657526101694992,1.1536509359275902,36.362559488,0.0,0.4954001839926403,0.9954586739327884,0.0009319664492078285,0.5995820117778212,0.5524861878453038,0.9918367346938776,0.0,0.6036022462676346,0.4826102334743684,0.5195073486184597
1,0.43855606000747116,0.5247382821035327,36.407148544,425.50419545173645,0.1605335786568537,0.7465940054495913,0.934762348555452,0.9242779376200404,0.19889502762430944,0.7142857142857143,0.87248322147651,0.8647993425558144,0.20399432027225906,0.24084705829150277
2,0.4289134888114124,0.4954128941724977,36.41321472,434.3932967185974,0.1476540938362465,0.7584014532243415,0.9487418452935694,0.9184440477309028,0.18600368324125227,0.7142857142857143,0.8959731543624161,0.8690042459936995,0.19061998712288453,0.21316647824055235
3,0.43362032921108973,0.5031885315816869,36.41751552,431.5839352607727,0.18169273229070837,0.695731153496821,0.9440820130475303,0.9236879461440205,0.23020257826887658,0.6285714285714286,0.8859060402684564,0.8731406656622379,0.2057696376011774,0.24055566107417958
4,0.42618156627116616,0.47529736448459914,36.422254592,428.1891613006592,0.17203311867525295,0.6848319709355132,0.9748369058713886,0.9396388778142044,0.20073664825046045,0.6326530612244898,0.9362416107382551,0.8927681139569921,0.19831810691071872,0.22001906872277244
5,0.3782934297542304,0.45015629363050297,36.42710016,408.82009530067444,0.13661453541858326,0.7747502270663034,0.9543336439888164,0.9460517550341847,0.17495395948434622,0.7591836734693878,0.8791946308724832,0.9011642240788932,0.17152240848050038,0.20495572740017187
6,0.39965646227957397,0.4582109975581932,36.431650816,419.81381368637085,0.1425942962281509,0.7556766575840145,0.961789375582479,0.9341173363535479,0.16390423572744017,0.7428571428571429,0.912751677852349,0.8918915217093548,0.1779405966396861,0.19175038815779555
7,0.37773987937052517,0.47290801660384796,36.436475904,414.60825991630554,0.12741490340386386,0.8510445049954587,0.8946877912395154,0.9421275075695821,0.17863720073664824,0.8122448979591836,0.8288590604026845,0.8909327489385017,0.1686398470076036,0.21123070893441265
8,0.47201614309324336,0.5022467057104271,36.440510464,412.01360845565796,0.2138914443422263,0.5831062670299727,0.994408201304753,0.9463082362640757,0.22099447513812154,0.5469387755102041,0.9697986577181208,0.9017120942336666,0.22946551922369385,0.23841811001070257
9,0.3725145477086108,0.47042552559027406,36.444479488,413.2893633842468,0.13477460901563942,0.771117166212534,0.961789375582479,0.9482144927977869,0.17495395948434622,0.7387755102040816,0.8959731543624161,0.8963018764552801,0.16577186426907042,0.20014900737122965
10,0.41063314300301845,0.4715966196505578,36.448677888,411.97960805892944,0.15777368905243794,0.7311534968210718,0.9561975768872321,0.9394391102556093,0.19705340699815843,0.6857142857142857,0.8993288590604027,0.8898780988905629,0.18989523546725529,0.22531424953647172
11,0.38306570158198183,0.4534334152997584,36.45261824,411.22225689888,0.12189512419503223,0.849227974568574,0.907735321528425,0.9455091660296959,0.1694290976058932,0.8204081632653061,0.8389261744966443,0.9026297767429119,0.16402675067451555,0.20297202249054103
12,0.3972979952266674,0.4945704726412086,36.456808448,411.5444803237915,0.14581416743330267,0.7783832879200726,0.9319664492078286,0.9296073297764549,0.20626151012891347,0.7061224489795919,0.8657718120805369,0.8710998493357074,0.17993682165195002,0.22741761256576076
13,0.3819484277967586,0.46025826923722024,36.461002752,414.1421060562134,0.1389144434222631,0.7602179836512262,0.9645852749301025,0.9514615620976609,0.1896869244935543,0.7061224489795919,0.8959731543624161,0.8972195589645255,0.17436628878464555,0.2073082349749017
14,0.3816988401312307,0.4553410353192868,36.464795648,412.2770597934723,0.14029438822447104,0.7565849227974568,0.9655172413793104,0.9464580619330221,0.1731123388581952,0.7306122448979592,0.9060402684563759,0.8950965621147788,0.1713313136190826,0.20229649225945523
15,0.3818384686645293,0.4465689520307998,36.469051392,410.67466378211975,0.1389144434222631,0.7538601271571299,0.9711090400745573,0.9471174641709265,0.1731123388581952,0.710204081632653,0.9228187919463087,0.9001369675386933,0.16913199426661762,0.1903028535250757
16,0.3914045831324249,0.45698045414543076,36.473204736,410.71741127967834,0.14949402023919045,0.7311534968210718,0.972972972972973,0.9420843374615807,0.1731123388581952,0.6938775510204082,0.9362416107382551,0.8875907409943844,0.17366290317635513,0.19315459985830352
17,0.39231346429677194,0.4735014590563986,36.477210624,411.1145808696747,0.15777368905243794,0.7211625794732062,0.9664492078285182,0.9481823268349624,0.1952117863720073,0.6775510204081633,0.9093959731543624,0.8973976167648268,0.18173929973019376,0.21510178024992843
18,0.3640294704734292,0.4603336033124384,36.481253376,410.36383080482483,0.1379944802207912,0.7602179836512262,0.9664492078285182,0.9542473037728135,0.16574585635359118,0.7224489795918367,0.9261744966442953,0.9026160799890426,0.16295731772749567,0.1982644447459262
19,0.40540157725035353,0.5093211882425897,36.48540672,410.03443479537964,0.1338546458141674,0.7720254314259763,0.9627213420316869,0.93954661228926,0.17863720073664824,0.726530612244898,0.8993288590604027,0.8786193672099712,0.17587229044027475,0.2062694644176125
