,train_loss,test_loss,ram_usage,runtime,train_misclass,train_sensitivity,train_specificity,train_auc,test_misclass,test_sensitivity,test_specificity,test_auc,train_sample_misclass,test_sample_misclass
0,1.1233095866602787,1.1270698492126943,36.392943616,0.0,0.6370745170193193,0.291970802919708,0.43506493506493504,0.33063137331906883,0.6593001841620626,0.236,0.4300341296928328,0.3062389078498294,0.5519871491997608,0.5547228445563401
1,0.5904384771419179,0.6066119861480975,36.494311424,356.45137906074524,0.29714811407543695,0.9507299270072993,0.45083487940630795,0.9021530476822448,0.30570902394106814,0.936,0.4880546075085324,0.8949215017064847,0.3062045642038338,0.3208707594835192
2,0.42394540426671784,0.4310908393035321,36.495990784,342.8263404369354,0.14903403863845444,0.8521897810218978,0.849721706864564,0.9244071882236635,0.13627992633517494,0.88,0.8498293515358362,0.9309351535836178,0.19589799068919422,0.18854861282975643
3,0.41440722646745587,0.4122228095577568,36.497657856,343.2410490512848,0.1609935602575897,0.7545620437956204,0.924860853432282,0.9305579066397627,0.13812154696132595,0.776,0.9351535836177475,0.9347576791808874,0.18921962368383782,0.17174423859515153
4,0.406548489754943,0.41891295124846617,36.499611648,339.838338136673,0.13523459061637533,0.8266423357664233,0.9035250463821892,0.9287432458052896,0.13812154696132595,0.812,0.9044368600682594,0.9218703071672355,0.18238380026902934,0.18931645265534602
5,0.3961127299809053,0.40840127729861575,36.500226048,337.71871161460876,0.1343146274149034,0.8302919708029197,0.9016697588126159,0.9349616754465556,0.13812154696132595,0.808,0.9078498293515358,0.9338976109215018,0.17635934262533015,0.17947826560791003
6,0.4693890552202581,0.48184379890420265,36.502192128,334.8966863155365,0.1655933762649494,0.7107664233576643,0.9601113172541744,0.9238341819806886,0.1712707182320442,0.68,0.9556313993174061,0.919112627986348,0.21134637512399113,0.21526431562545045
7,0.40239976028174446,0.41105645861000417,36.503506944,330.7255747318268,0.14903403863845444,0.7983576642335767,0.9044526901669759,0.9343311146621888,0.13259668508287292,0.816,0.9112627986348123,0.9354266211604095,0.18274637290721985,0.17047821542209962
8,0.3804889566778845,0.39757066717841716,36.504109056,332.3561065196991,0.13201471941122356,0.7992700729927007,0.937847866419295,0.9431445770079763,0.13075506445672191,0.776,0.9488054607508533,0.9289283276450512,0.167091028751035,0.16908944919596924
9,0.4880754695350621,0.47560943796479616,36.505952256,330.4264018535614,0.19549218031278748,0.6423357664233577,0.9693877551020408,0.9338732175019975,0.1712707182320442,0.66,0.9726962457337884,0.9345529010238908,0.21474648930297935,0.1974270423779808
10,0.3923725395836906,0.40399939831778037,36.507246592,328.20653796195984,0.13983440662373503,0.7901459854014599,0.9313543599257885,0.9413993201792994,0.13812154696132595,0.78,0.931740614334471,0.9360819112627987,0.1750854166861321,0.16823891963726478
11,0.3768649983112527,0.40252174263536844,36.50740224,325.41505002975464,0.12189512419503223,0.8722627737226277,0.8840445269016698,0.9472148680308222,0.13259668508287292,0.848,0.8839590443686007,0.9332832764505119,0.16908604275608308,0.18246299903515317
12,0.3775338006824036,0.4085412745054702,36.50930688,328.6884832382202,0.12603495860165592,0.8841240875912408,0.8636363636363636,0.9484963029671059,0.13996316758747696,0.856,0.863481228668942,0.9359044368600683,0.16753042503322257,0.1808975676856518
13,0.37836268271234524,0.39686871171022325,36.51018752,327.724600315094,0.13661453541858326,0.7947080291970803,0.9332096474953617,0.9452148477174546,0.13443830570902393,0.788,0.931740614334471,0.9362184300341296,0.16939899376293388,0.16559127987101263
14,0.36897143942839333,0.3902120992962578,36.511023104,325.7992494106293,0.12741490340386386,0.8302919708029197,0.9155844155844156,0.9462118955080373,0.1289134438305709,0.816,0.9180887372013652,0.9357406143344711,0.16543883567721784,0.16606412430434836
15,0.358872980870214,0.3920741855160521,36.51209216,326.4650511741638,0.12465501379944799,0.8184306569343066,0.9332096474953617,0.9516457213276817,0.12338858195211788,0.788,0.9522184300341296,0.9326962457337883,0.15845123900110458,0.1687637180698931
16,0.37954272190857347,0.3985521816890214,36.513144832,325.69498658180237,0.14167433302667898,0.7563868613138686,0.9619666048237476,0.9510075430304835,0.14180478821362796,0.748,0.9522184300341296,0.939358361774744,0.17049055133300317,0.1672515476418327
